Draft year,Round,Pick,Player,Position,College,Conference
2012,1,1,Andrew Luck ,QB,Stanford,Pac-12
2012,1,2,Robert Griffin III ,QB,Baylor,Big 12
2012,1,3,Trent Richardson ,RB,Alabama,SEC
2012,1,4,Matt Kalil ,OT,USC,Pac-12
2012,1,5,Justin Blackmon ,WR,Oklahoma State,Big 12
2012,1,6,Morris Claiborne ,CB,LSU,SEC
2012,1,7,Mark Barron ,S,Alabama,SEC
2012,1,8,Ryan Tannehill ,QB,Texas A&M,Big 12
2012,1,9,Luke Kuechly ,LB,Boston College,ACC
2012,1,10,Stephon Gilmore ,CB,South Carolina,SEC
2012,1,11,Dontari Poe ,DT,Memphis,C-USA
2012,1,12,Fletcher Cox ,DT,Mississippi State,SEC
2012,1,13,Michael Floyd ,WR,Notre Dame,Ind. (FBS)
2012,1,14,Michael Brockers ,DT,LSU,SEC
2012,1,15,Bruce Irvin ,DE,West Virginia,Big East
2012,1,16,Quinton Coples ,DE,North Carolina,ACC
2012,1,17,Dre Kirkpatrick ,CB,Alabama,SEC
2012,1,18,Melvin Ingram ,LB,South Carolina,SEC
2012,1,19,Shea McClellin ,DE,Boise State,MWC
2012,1,20,Kendall Wright ,WR,Baylor,Big 12
2012,1,21,Chandler Jones ,DE,Syracuse,Big East
2012,1,22,Brandon Weeden ,QB,Oklahoma State,Big 12
2012,1,23,Riley Reiff ,OT,Iowa,Big Ten
2012,1,24,David DeCastro ,G,Stanford,Pac-12
2012,1,25,Dont'a Hightower ,LB,Alabama,SEC
2012,1,26,Whitney Mercilus ,DE,Illinois,Big Ten
2012,1,27,Kevin Zeitler ,G,Wisconsin,Big Ten
2012,1,28,Nick Perry ,LB,USC,Pac-12
2012,1,29,Harrison Smith ,S,Notre Dame,Ind. (FBS)
2012,1,30,A. J. Jenkins ,WR,Illinois,Big Ten
2012,1,31,Doug Martin ,RB,Boise State,MWC
2012,1,32,David Wilson ,RB,Virginia Tech,ACC
2013,1,1,Eric Fisher,OT,Central Michigan,MAC
2013,1,2,Luke Joeckel,OT,Texas A&M,SEC
2013,1,3,Dion Jordan,DE,Oregon,Pac-12
2013,1,4,Lane Johnson,OT,Oklahoma,Big 12
2013,1,5,Ezekiel Ansah,DE,BYU,Ind. (FBS)
2013,1,6,Barkevious Mingo,DE,LSU,SEC
2013,1,7,Jonathan Cooper,G,North Carolina,ACC
2013,1,8,Tavon Austin,WR,West Virginia,Big 12
2013,1,9,Dee Milliner,CB,Alabama,SEC
2013,1,10,Chance Warmack,G,Alabama,SEC
2013,1,11,D. J. Fluker,OT,Alabama,SEC
2013,1,12,D. J. Hayden,CB,Houston,C-USA
2013,1,13,Sheldon Richardson,DT,Missouri,SEC
2013,1,14,Star Lotulelei,DT,Utah,Pac-12
2013,1,15,Kenny Vaccaro,S,Texas,Big 12
2013,1,16,EJ Manuel,QB,Florida State,ACC
2013,1,17,Jarvis Jones,LB,Georgia,SEC
2013,1,18,Eric Reid,S,LSU,SEC
2013,1,19,Justin Pugh,OT,Syracuse,Big East
2013,1,20,Kyle Long,G,Oregon,Pac-12
2013,1,21,Tyler Eifert,TE,Notre Dame,Ind. (FBS)
2013,1,22,Desmond Trufant,CB,Washington,Pac-12
2013,1,23,Sharrif Floyd,DT,Florida,SEC
2013,1,24,BjÃ¶rn Werner,DE,Florida State,ACC
2013,1,25,Xavier Rhodes,CB,Florida State,ACC
2013,1,26,Datone Jones,DE,UCLA,Pac-12
2013,1,27,DeAndre Hopkins,WR,Clemson,ACC
2013,1,28,Sylvester Williams,DT,North Carolina,ACC
2013,1,29,Cordarrelle Patterson,WR,Tennessee,SEC
2013,1,30,Alec Ogletree,LB,Georgia,SEC
2013,1,31,Travis Frederick,C,Wisconsin,Big Ten
2013,1,32,Matt Elam,S,Florida,SEC
2014,1,1,Jadeveon Clowney ,DE,South Carolina,SEC
2014,1,2,Greg Robinson ,OT,Auburn,SEC
2014,1,3,Blake Bortles ,QB,UCF,The American
2014,1,4,Sammy Watkins ,WR,Clemson,ACC
2014,1,5,Khalil Mack ,LB,Buffalo,MAC
2014,1,6,Jake Matthews ,OT,Texas A&M,SEC
2014,1,7,Mike Evans ,WR,Texas A&M,SEC
2014,1,8,Justin Gilbert ,CB,Oklahoma State,Big 12
2014,1,9,Anthony Barr ,LB,UCLA,Pac-12
2014,1,10,Eric Ebron ,TE,North Carolina,ACC
2014,1,11,Taylor Lewan ,OT,Michigan,Big Ten
2014,1,12,Odell Beckham ,WR,LSU,SEC
2014,1,13,Aaron Donald ,DT,Pittsburgh,ACC
2014,1,14,Kyle Fuller ,CB,Virginia Tech,ACC
2014,1,15,Ryan Shazier ,LB,Ohio State,Big Ten
2014,1,16,Zack Martin ,G,Notre Dame,Ind. (FBS)
2014,1,17,C. J. Mosley ,LB,Alabama,SEC
2014,1,18,Calvin Pryor ,S,Louisville,The American
2014,1,19,Ja'Wuan James ,OT,Tennessee,SEC
2014,1,20,Brandin Cooks ,WR,Oregon State,Pac-12
2014,1,21,Ha Ha Clinton-Dix ,S,Alabama,SEC
2014,1,22,Johnny Manziel ,QB,Texas A&M,SEC
2014,1,23,Dee Ford ,DE,Auburn,SEC
2014,1,24,Darqueze Dennard ,CB,Michigan State,Big Ten
2014,1,25,Jason Verrett ,CB,TCU,Big 12
2014,1,26,Marcus Smith ,LB,Louisville,The American
2014,1,27,Deone Bucannon ,S,Washington State,Pac-12
2014,1,28,Kelvin Benjamin ,WR,Florida State,ACC
2014,1,29,Dominique Easley ,DT,Florida,SEC
2014,1,30,Jimmie Ward ,S,NIU,MAC
2014,1,31,Bradley Roby ,CB,Ohio State,Big Ten
2014,1,32,Teddy Bridgewater ,QB,Louisville,The American
2015,1,1,Jameis Winston ,QB,Florida State,ACC
2015,1,2,Marcus Mariota ,QB,Oregon,Pac-12
2015,1,3,Dante Fowler ,DE,Florida,SEC
2015,1,4,Amari Cooper ,WR,Alabama,SEC
2015,1,5,Brandon Scherff ,OT,Iowa,Big Ten
2015,1,6,Leonard Williams ,DE,USC,Pac-12
2015,1,7,Kevin White ,WR,West Virginia,Big 12
2015,1,8,Vic Beasley ,DE,Clemson,ACC
2015,1,9,Ereck Flowers ,OT,Miami (FL),ACC
2015,1,10,Todd Gurley ,RB,Georgia,SEC
2015,1,11,Trae Waynes ,CB,Michigan State,Big Ten
2015,1,12,Danny Shelton ,DT,Washington,Pac-12
2015,1,13,Andrus Peat ,OT,Stanford,Pac-12
2015,1,14,DeVante Parker ,WR,Louisville,ACC
2015,1,15,Melvin Gordon ,RB,Wisconsin,Big Ten
2015,1,16,Kevin Johnson ,CB,Wake Forest,ACC
2015,1,17,Arik Armstead ,DE,Oregon,Pac-12
2015,1,18,Marcus Peters ,CB,Washington,Pac-12
2015,1,19,Cameron Erving ,C,Florida State,ACC
2015,1,20,Nelson Agholor ,WR,USC,Pac-12
2015,1,21,Cedric Ogbuehi ,OT,Texas A&M,SEC
2015,1,22,Bud Dupree ,LB,Kentucky,SEC
2015,1,23,Shane Ray ,DE,Missouri,SEC
